name,x1,y1,x2,y2,classname
2756.png,69,126,294,392,1
2756.png,505,10,723,283,1
6098.jpg,360,85,728,653,0
6427.png,278,386,582,582,1
4591.png,239,9,522,342,1
5525.jpg,262,18,484,319,0
5525.jpg,49,58,191,247,0
3911.png,49,26,389,476,0
4287.png,80,0,629,599,1
4893.png,179,8,664,599,1
1987.jpg,365,67,464,199,1
1987.jpg,72,150,103,191,0
1987.jpg,367,127,456,198,1
1987.jpg,764,138,794,169,0
4070.png,154,15,493,485,1
3754.png,538,51,692,257,1
3673.png,119,26,389,379,1
1926.jpg,442,84,805,489,1
4650.png,524,287,652,384,1
4650.png,58,6,186,132,1
4650.png,528,311,614,377,1
4650.png,86,102,173,128,1
4650.png,251,36,286,76,1
4650.png,262,58,285,76,1
3939.png,717,118,762,180,1
3939.png,352,101,409,173,0
3939.png,522,143,560,171,1
3939.png,718,150,754,175,1
3939.png,674,134,714,174,1
3939.png,88,12,160,114,1
3939.png,62,64,107,163,1
3939.png,90,77,118,112,1
3939.png,684,158,703,172,1
3939.png,670,100,704,138,0
4415.png,131,8,382,297,1
3283.png,45,27,425,476,1
3283.png,4,334,162,653,0
2588.png,153,196,407,588,1
2618.png,348,3,518,223,1
4394.png,6,86,336,481,1
6358.jpg,460,67,671,369,0
6358.jpg,118,150,418,432,0
2407.png,194,10,555,514,1
4356.png,113,32,302,263,1
4356.png,768,287,845,396,1
4356.png,806,306,954,462,1
4356.png,634,221,695,301,1
4356.png,348,33,437,134,1
4356.png,497,235,581,356,1
4356.png,163,148,284,258,1
4356.png,508,303,572,352,1
4356.png,774,346,828,396,1
4356.png,808,380,916,457,1
4356.png,640,268,678,297,1
4356.png,396,82,431,128,1
4356.png,599,201,647,269,1
4356.png,598,242,627,268,1
2614.png,250,8,466,285,1
2614.png,268,176,442,285,1
6361.jpg,259,88,407,242,0
4997.jpg,391,56,613,367,1
4997.jpg,408,218,584,362,1
4997.jpg,61,89,138,174,1
3793.png,337,117,688,529,1
2275.png,120,137,194,215,1
2275.png,319,232,372,295,0
2275.png,143,170,190,212,1
2275.png,217,155,290,230,0
2275.png,478,216,507,267,0
4921.png,552,169,809,468,1
4921.png,576,307,777,467,1
4040.png,260,23,383,177,1
4040.png,860,173,915,252,1
4040.png,262,103,356,175,1
4040.png,486,129,561,204,1
4040.png,715,170,770,232,1
4040.png,905,135,967,201,1
2732.png,39,133,103,212,1
2732.png,244,136,278,184,1
2732.png,416,141,480,221,1
2732.png,50,171,82,203,1
2732.png,248,164,274,183,1
2732.png,0,171,22,191,1
2732.png,1,151,29,196,1
2965.png,159,89,490,586,1
5212.jpg,1657,3208,2015,3625,1
5212.jpg,1729,3463,1971,3611,1
4125.png,159,71,454,520,1
5820.jpg,124,41,257,189,0
5820.jpg,450,9,555,154,0
5820.jpg,666,68,810,224,0
3160.png,63,6,397,398,1
3160.png,70,145,393,395,1
4221.png,0,40,252,343,1
4221.png,298,120,524,499,1
4221.png,298,324,511,497,1
4221.png,287,119,520,499,1
4221.png,0,163,134,345,1
4221.png,0,41,251,343,1
5631.jpg,97,92,828,1045,0
6403.png,612,0,1112,779,1
4019.png,207,123,296,242,1
4019.png,210,196,261,237,1
5298.jpg,166,378,328,597,0
5298.jpg,422,455,609,730,0
5298.jpg,300,9,412,160,0
4931.png,133,67,486,407,1
4931.png,278,256,408,389,1
4729.png,869,122,1016,292,1
4729.png,261,47,382,225,1
5806.jpg,343,175,736,674,0
4538.png,0,38,211,345,1
4538.png,322,51,523,325,1
4538.png,192,178,376,446,1
4538.png,195,319,376,444,1
4538.png,362,186,523,322,1
4538.png,0,202,205,345,1
5584.jpg,222,53,406,270,0
6162.jpg,188,6,295,161,0
2194.png,230,58,399,254,1
4153.png,495,99,712,364,1
4153.png,290,92,481,322,1
4153.png,74,203,272,394,1
6310.jpg,266,388,361,516,0
6310.jpg,416,368,469,428,0
6310.jpg,510,297,567,382,0
6310.jpg,588,300,633,366,0
6310.jpg,658,326,709,389,0
6310.jpg,727,274,779,341,0
3337.png,231,3,673,389,1
3369.png,97,4,371,268,1
3369.png,185,166,513,596,1
4674.png,9,184,146,380,1
4674.png,318,108,445,294,1
4674.png,221,138,320,287,1
4674.png,8,277,140,378,1
4674.png,224,207,294,279,1
4674.png,312,193,431,289,1
3166.png,64,126,449,464,1
4031.png,47,3,356,365,1
2492.png,157,98,202,152,1
2492.png,405,63,450,125,0
2492.png,159,123,197,150,1
2492.png,108,67,122,86,0
2492.png,218,63,238,85,0
2492.png,15,112,33,135,0
2492.png,349,80,387,126,1
2492.png,304,88,331,129,1
5931.jpg,175,92,227,158,0
5931.jpg,390,99,435,152,0
5931.jpg,477,95,518,148,0
2388.png,139,39,346,277,1
2388.png,194,152,341,277,1
3082.png,494,32,561,120,1
3082.png,377,49,453,132,1
3082.png,773,48,824,124,0
3082.png,23,26,98,120,1
3082.png,496,84,542,117,1
3082.png,50,79,92,112,1
3082.png,378,96,415,127,1
3082.png,637,150,687,184,1
3082.png,594,121,631,159,1
3082.png,621,106,692,185,1
3082.png,588,89,645,156,1
1811.jpg,435,83,583,276,0
1969.jpg,388,77,489,210,1
1969.jpg,683,104,784,242,1
1969.jpg,691,153,744,230,1
1969.jpg,416,124,478,204,1
4047.png,732,103,929,344,0
6193.jpg,786,154,1092,586,0
5119.png,81,7,322,319,1
4662.png,75,385,266,541,1
4662.png,300,361,492,469,1
2828.png,3,0,535,331,1
2828.png,147,114,429,334,1
5310.jpg,350,24,486,194,0
3467.png,638,6,892,289,1
3467.png,218,41,367,235,1
3467.png,245,148,362,222,1
3467.png,693,185,796,292,1
6292.jpg,871,195,1444,949,0
6292.jpg,2400,226,2915,899,0
3466.png,464,124,611,304,1
3466.png,263,164,338,328,1
3466.png,262,243,330,318,1
2028.jpg,300,113,603,493,1
6112.jpg,354,110,532,366,0
6112.jpg,613,15,749,194,0
6102.jpg,171,68,293,225,0
6102.jpg,66,108,141,199,0
6102.jpg,26,96,71,177,0
6102.jpg,295,88,356,180,0
6102.jpg,358,123,395,183,0
6102.jpg,577,58,660,136,0
6102.jpg,548,118,662,252,0
3748.png,239,28,624,551,1
3121.png,233,21,429,264,1
3355.png,136,259,276,408,1
3355.png,159,328,242,405,1
5950.jpg,168,28,673,714,0
6177.jpg,66,27,147,128,0
6177.jpg,588,24,661,121,0
4437.png,245,89,443,323,1
4507.png,172,13,366,249,1
4507.png,200,150,362,244,1
6203.jpg,396,202,774,739,0
4806.png,110,251,244,380,0
5848.jpg,299,115,563,425,0
5569.jpg,133,31,341,305,0
4406.png,278,42,522,405,1
4406.png,4,146,258,481,1
4406.png,10,310,213,476,1
4406.png,290,214,511,402,1
3877.png,388,137,681,515,1
3877.png,238,161,420,417,1
3877.png,2,58,245,412,1
2431.png,453,254,525,387,1
2431.png,285,261,376,376,1
2431.png,367,218,443,305,1
2431.png,284,192,327,241,1
2431.png,297,315,366,372,1
2431.png,290,216,318,238,1
2431.png,378,252,444,306,1
2431.png,442,191,475,220,1
2431.png,346,248,377,277,1
2431.png,439,177,478,221,1
2431.png,329,206,380,277,1
2016.jpg,1330,627,1610,955,1
2016.jpg,886,649,1111,928,1
2016.jpg,442,484,716,864,1
2016.jpg,1601,314,1791,542,1
2016.jpg,727,268,997,591,1
2016.jpg,0,200,241,516,1
2016.jpg,1076,196,1246,432,1
2016.jpg,1918,321,2109,594,1
2016.jpg,1351,376,1542,605,1
2016.jpg,1342,484,1520,609,1
2016.jpg,554,314,721,452,1
2016.jpg,328,438,524,611,1
2016.jpg,540,202,747,470,1
